;0~49는 상점에서 구입 가능. 
0,없음,1
1,E마사지기,5000,
2,클리캡,8000,
3,바이브,2000,
4,애널바이브,3000,
5,애널비즈,5000,
6,유두캡,8000,
7,착유기,12000,
8,페니스밴드,8000,
9,눈가리개,2000,
10,밧줄,1000,
11,수정구,6000,
12,로터,300,


20,콘돔,100
21,로션,300,
22,미약Ⅰ,2000,
23,이뇨제,1000,
24,배란유발제,2000,;잉태시킬 때 쓴다.
25,수정구의마력원,500,
26,보관함마력원,3000,;


;88~99는 대장간에서 구입가능
80,【무기Lv】,5000,;공격력이 상승한다
90,【방어구Lv】,5000,;방어력이 상승한다


;100~200는 기능상점. 뒷거래상인에게서 구입가능
101,조제용품 세트,100000,;어디서든 조제가 가능해진다.
105,【소문Lv】,10000,;잡화점에 손님이 많이 찾아온다.
110,【포박기능】,10000,;구속플레이가 가능하게 된다
111,【문따기기능】,50000,;열쇠가 걸린 문을 열 수 있게된다.

130,【조합지식Ⅰ】,5000,;
131,【조합지식Ⅱ】,100000,;
132,【조합지식Ⅲ】,300000,; 

140,【액상약】,50000,;
141,【기화물약】,500000,;

150,【금지된 지식Ⅰ】,100000,;촉수 소환 가능
151,【금지된 지식Ⅱ】,300000,;특정 기억을 제거하는 물약 제작가능. 반발각인 제거가능.
152,【금지된 지식Ⅲ】,500000,;자신을 도와줄 호문클로스 딱 한번 제작 가능.

;171~200은 기능 아이템
171,〖투명보관함〗,20000,; '국립연구수사단' 이벤트 회피

;201~ 요리, 외관, 객실, 소문 아이템
201,건빵LV1,1,;
202,보리빵LV2,1,;
205,밀빵LV5,1,;
208,잼빵LV8,1,;

301,나뭇잎벽지LV1,100,;
302,누런벽지LV2,200,;
305,나무벽지LV5,800,;
308,흰벽지LV8,2000,;

401,나뭇잎이불LV1,10,;
402,짚이불LV2,100,;
405,개털이불LV5,800,;
408,가죽이불LV8,2000,;

501,벽보LV1,100,;
502,낡은게시판LV2,200,;
505,허름한게시판LV5,800,;
508,게시판LV8,2000


;801~ 상점산 요리재료
801,건빵봉지,100,;
802,보리가루,300,;
803,밀가루,500,;
804,잼,800,;

;1500부터는 연금


;포션연금
1501,녹혜단,100,;체력회복 단약
1502,주용단,100,;기력회복 단약
1503,빨간포션(소),500,;체력회복 포션
1504,빨간포션(대),1500,;체력회복 포션
1505,파란포션(소),500,;기력회복 포션
1506,파란포션(대),1500,;기력회복 포션
1507,보라포션(소),3000,;체력과 기력 회복 포션
1508,보라포션(대),6000,;체력과 기력 회복 포션
1509,빨간향,5000,;체력 회복 향
1510,파란향,5000,;기력 회복 향
1511,보라향,10000,;체력과 기력 회복 포션
1512,엘릭서,100000,;체력과 기력 100% 회복

1520,최면단,1,;
1521,최면포션,1,;
1522,기력최면포션,1,;
1523,최면향,1,;

1531,수면제Ⅰ,2000,;
1532,수면제Ⅱ,5000,;
1533,수면제Ⅲ,10000,;


1551,정력제,5000,;
1555,미약Ⅱ,5000,;
1556,미약Ⅲ,8000,;

1561,내가검이된약Ⅰ,;공격력 일정기간 상승
1562,내가검이된약Ⅱ,;공격력 일정기간 상승2
1563,내가검이된약Ⅲ,;공격력 일정기간 상승3

1571,가드올려약Ⅰ,;방어력 일정기간 상승
1572,가드올려약Ⅱ,;방어력 일정기간 상승2
1573,가드올려약Ⅲ,;방어력 일정기간 상승3

;채집
1600,초록약초,50
1601,빨간약초,300
1602,보라약초,5000
1603,우유버섯,500
1604,각성버섯,1000
1605,혼돈버섯,500
1606,환영버섯,8000
1607,수면초,2000
1608,민들레,50
1609,접착풀,500
1610,장미다발,30000
1611,백합다발,30000
1612,꽃다발,5000
1613,할미초,2000
1614,안춥다초,5000
1615,시체꽃,10000
1616,폭음초,6000
1617,돼지발정풀,500
1618,앵무식인초,15000
1619,가드올려초,1500
1620,투명초,50000,;투명화 물약 재료
1621,개다래나뭇가지,5000,;수인전용 발정 물약 재료
1622,지우개꽃,50000,;기억제거 물약 재료
1623,무지개반사초,50000
1624,파란약초,200
1625,검은약초,15000
1626,하얀약초,15000
1627,정력초,5000
1628,지방덕지꽃,20000,;가슴크기 증가 물약 재료
1629,지방샥샥뿌리,20000,;가슴크기 감소 물약 재료
1630,천년천리향초,3000,;추적물약 재료
1631,사탕수수,500
1632,깎아요열매,3000,;초콜렛재료
1633,사망초,5000
1634,10년산파란약초,100000
1635,100년산파란약초,300000
