;성별,경험 계열
0,성별
(BIT 0-여자 1-남자 2-후타나리)
1,V경험유무
(BIT 0-처녀 1-비처녀 2-무자각비처녀)
2,A경험유무
(BIT 0-A처녀 1-A비처녀 2-A무자각비처녀)
3,동정유무,;
(BIT 0-동정 1-비동정)
4,키스경험,;
(BIT 0-키스경험 1-키스미경험)

;함락 소질 계열
13,연모,;애정을 닮은 감정을 안고 있는 상태. =2그리고 상위 호환
14,음란,;색욕에 흐트러지고 자른 상태. =2그리고 상위 호환
15,복종
16,연인,;서로 마음에 둔 사람된 상태.
17,사모
18,붕괴,;정신이 무너진 상태. 아무일도 할 수 없다.

;성격,,
21,담력,
	;-1=겁장이,;ABL:순종이 올리기 쉽다. PALAM:반감이 오르기 어렵다 
	;1=다부짐,;커맨드를 실행하기 어렵다. 매각 시에 순종 4이상 필요
22,태도,
	;-1=솔직함,;커맨드를 실행하기 쉽다. PALAM:복종이 오르기 쉽다 
	;1=반항적,;커맨드를 실행하기 어렵다. 매각 시에 순종 4이상 필요. PALAM:복종과 욕정이 오르기 어렵다
23,응답,
	;-1=얌전한,;PALAM:반감이 오르기 어렵다 
	;1=거만함,;ABL:순종과 봉사정신이 올리기 어렵다.
24,자존심,
	;-1=자존심 낮음,;커맨드를 실행하기 쉽다. PALAM:굴복이 오르기 쉽다 
	;1=자존심 높음,;커맨드를 실행하기 어렵다. PALAM:굴복이 오르기 어렵다
25,츤데레,;커맨드가 실행하기 어렵지만,순종 Lv4 이상으로 반전

;용모-MASTER
31,용모,;-1=추악 1= 잘 생김
;외관연령-MASTER
32,외관연령,;-1=아이 0=청년 1= 중년 2=노인


;성애의 관심 
51,성적흥미,;
	;-1=보수적,;커맨드를 실행하기 어렵다. PALAM:습득이 오르기 어렵다 
	;1=호기심,:커맨드를 실행하기 쉽다. PALAM:습득이 오르기 쉽다 
52,비관적/낙관적,;
    ;-1=비관적,;ABL:봉사정신을 올리기 쉽다. PALAM:억울이 빠르게 증가한다.
    ;1=낙관적,;ABL:봉사정신을 올리기 쉽다. PALAM:억울이 느리게 증가한다.  
53,감정부족,;ABL:봉사정신을 올리기 어렵다. PALAM가 전체적으로 느리게 증가한다.
54,자제심,;매각시 욕망4 이상 필요. ABL:봉사정신을 올리기 어렵다. 쾌락계 PALAM가 느리게 증가한다. 
55,무관심,;ABL:봉사정신을 올리기 어렵다. PALAM:온순, 욕정, 굴복, 공포, 반감이 느리게 증가한다.
56,일선넘지않음,;모든 ABL을 올리기 어렵다.
57,눈에띄고싶어함,;커맨드를 실행하기 쉽다. ABL:노출벽을 올리기 쉽다. 
58,무지,;성적인 일에 대한 지식이 없다

;소녀 감성,,
61,정조,
	;-1=정조무관심,;사랑계 조교의 효과가 낮다. PALAM:반감이 오르기 어렵다 
	;1=정조 관념,사랑계 조교의 효과가 낮다. PALAM:반감이 오르기 쉽다
62,자기애,
	;-1=억압 커맨드를 실행하기 어렵다. PALAM:억울,반발이 오르기 쉽고,욕정이 오르기 어렵다. 욕망 Lv3 이상으로 소멸 
	;1=해방,;ABL:마조끼이 올리기 쉽다. PALAM:욕정과 굴복이 오르기 쉽다
63,저항,;커맨드를 실행하기 어렵다. PALAM:억울,반발이 오르기 쉽고,복종이 오르기 어렵다. 순종 Lv3 이상으로 소멸
64,수치심,
	;-1=수치심 없음,;노출계 조교의 효과가 낮다 
	;1=부끄러움,커맨드를 실행하기 어렵다. 노출계 조교의 효과가 높다

;체질,,
71,통각,
	;-1=고통에 약하다,PALAM:고통과 반감이 오르기 쉽다
	;1=고통에 강하다,;PALAM:고통과 반감이 오르기 어렵다 
72,젖기쉬움,
	;-1=젖기 어려운 1=젖기 쉽다
73,포션감각,;
    ;-1=포션둔감,;미약이나 포션 사용시 기력, 체력 소비 적거나 효과 미미.
    ;1=포션민감,;미약이나 포션 사용시 기력, 체력 소비 경감 및 효과 증대.
74,둔한미각,;정액을 마시게하기 쉬움. ABL:정액중독을 올리기 쉽다.
75,조루,;MAX사정도가 줄어듭니다. - 숫자가 커질수록 심해짐.
76,지루,;MAX사정도가 늘어납니다. - 숫자가 커질수록 심해짐.

;기술,,
81,습득속도
    ;-1=습득느림,;ABL:봉사정신을 올리기 어렵다. PALAM:습득이 느리게 증가한다.
    ;1=습득빠름,;ABL:봉사정신을 올리기 쉽다. PALAM:습득이 빠르게 증가한다.
82,능숙한손가락, 수음계 조교 효과가 높아진다
83,혀놀림,;펠라계 조교의 효과가 높아진다

;결벽도,,
91,자위쉬움,;자위 관련이 실행하기 쉽다. ABL:자위중독이 올리기 쉽다
92,악취내성,;-2=결벽증 -1=악취 민감 1=악취 둔감 2=더러움 무시
93,헌신적,;봉사계 조교를 실행하기 쉽다. ABL:봉사정신을 올리기 쉽다. PALAM:굴복이 빠르게 증가한다. 

;정직도,,
101,쾌감응답
	; -1=쾌감에 부정,;커맨드를 실행하기 어렵다. PALAM:욕정이 오르기 어렵다
	; 1=쾌감에 솔직,;커맨드를 실행하기 쉽다. ABL:욕망과 봉사정신이 올리기 쉽다. PALAM:욕정이 오르기 쉽다
102,중독되기쉬움,;중독계의 ABL가 올리기 쉽다
;------------------------
103,포르치오성감,;자궁구개발경험이 증가한다고 붙는 풍미 소질
;------------------------
104,자위광,;C계 커맨드 및 자위계 커맨드의 효과 업
105,음호,;V계 커맨드의 효과 업
106,항문광,;A계 커맨드의 효과 업
107,음유,;B계 커맨드의 효과 업
108,키스마,;M계 커맨드의 효과 업

;성애성,,
111,도착적,;SM계 조교의 효과가 높다. 마조계,중독계의 ABL가 오르기 쉽다
112,성별기호,;
	;-1=양도,;레즈비언 조교를 실행하기 쉽다. ABL:레즈비언,레즈중독이 올리기 쉽다
	;1=남성기피,;남자에 의한 조교가 실행 되기 어려움.
	;2=여성기피,;여성에 의한 조교가 실행 되기 어려움.
113,새드,;조교자때에 커맨드를 실행하기 쉽다. ABL:봉사정신이 올리기 어렵다
114,마조,;커맨드를 실행하기 쉽다. 마조계의 ABL가 오르기 쉽다
115,애정,;주인의 조교가 실행되기 쉽다. PALAM:굴복이 빠르게 증가한다. 
116,망신,;커맨드를 실행하기 쉽다. PALAM:굴복이 빠르게 증가한다. 
117,소악마,;조교자때에 커맨드를 실행하기 쉽다
118,노출광,;PALAM:수치가 빠르게 증가한다.

;매료,,
121,매력,;매각액수·보수 증가
122,매혹,;조교자때에 커맨드를 실행하기 쉽다. 조교자때에 PALAM가 전체적으로 오르기 쉽다
123,수수께끼의매력,;매각액수·보수 증가,조교자때에 커맨드를 실행하기 쉽다. 조교자때에 PALAM가 전체적으로 오르기 쉽다

;몸 특징,,
131,체형,;-3=난쟁이 -2=유아 체형 -1=작은 체형 1=장신 2=거구 3=거인
    ,;-3=난쟁이,;
    ,;-2=유아 체형,;
    ,;-1=작은 체형,;PALAM:고통、공포가 오르기 쉽다
    ,;0
    ,;1=장신,;PALAM:고통、공포가 오르기 어렵다
    ,;2=거구,;
    ,;3=거인,;
